sample_id,y_true,sample_pred,sample_correct,b1 (1-20),b2 (21-40),b3 (41-60),b4 (61-80),b5 (81-100),b6 (101-120),b7 (121-140),b8 (141-160),b9 (161-180),b10 (181-200)
train_009,3,3,0.8,4,3,3,4,3,4,3,3,3,3
train_011,3,3,1.0,3,3,3,3,3,3,3,3,3,3
train_015,3,2,0.4,3,2,3,2,2,2,3,2,2,3
train_019,3,3,1.0,3,3,3,3,3,3,3,3,3,3
train_023,3,3,0.8,4,2,3,3,3,3,3,3,3,3
train_026,3,3,0.9,3,3,3,3,3,3,3,3,3,3
train_032,3,3,1.0,3,3,3,3,3,3,3,3,3,3
train_038,3,3,0.5,4,2,3,3,3,3,3,5,5,5
train_039,3,3,0.9,5,3,3,3,3,3,3,3,3,2
train_041,3,3,1.0,3,3,3,3,3,3,3,3,3,3
train_044,3,3,1.0,3,3,3,3,3,3,3,3,3,3
train_045,3,3,1.0,3,3,3,3,3,3,3,3,3,3
train_051,3,3,1.0,3,3,3,3,3,3,3,3,3,3
train_052,3,3,1.0,4,3,3,3,3,3,3,3,3,3
train_053,3,3,0.8,3,3,3,3,3,2,3,2,2,3
train_055,3,3,1.0,3,3,3,3,3,3,3,3,3,3
train_060,3,3,1.0,3,3,2,2,3,2,3,3,3,3
train_062,3,3,0.5,3,3,3,3,3,2,2,2,3,2
train_065,3,3,1.0,3,3,3,3,3,3,3,3,3,2
train_067,3,3,0.7,4,4,3,3,3,3,2,3,3,3
train_068,3,3,1.0,3,3,3,3,3,3,3,3,3,2
train_074,3,3,1.0,3,3,3,3,3,3,3,3,3,3
train_077,3,3,1.0,3,3,3,3,3,3,3,3,3,3
train_078,3,2,0.0,2,2,2,2,2,2,2,2,2,2
train_081,3,3,0.9,3,3,3,3,3,3,3,3,3,3
train_082,3,3,0.6,2,5,3,5,3,2,3,3,3,3
train_085,3,3,1.0,2,3,3,3,3,5,3,3,3,3
train_087,3,4,0.2,4,4,4,4,4,4,4,4,4,4
train_093,3,3,0.9,3,2,3,3,3,3,2,3,3,2
train_094,3,3,1.0,3,3,3,3,3,3,3,3,3,3
train_095,3,3,1.0,3,3,3,3,3,3,3,3,3,3
train_097,3,5,0.1,3,2,2,5,5,5,5,2,5,2
train_099,3,3,0.9,3,3,3,3,3,3,3,3,3,3
train_103,3,3,1.0,3,3,3,3,3,3,3,3,3,3
train_107,3,3,1.0,3,3,3,3,3,3,3,3,3,3
train_109,3,3,1.0,3,3,3,3,3,3,3,3,3,3
train_111,3,2,0.4,2,3,2,2,2,2,3,2,3,3
train_113,3,4,0.0,5,4,4,4,4,4,4,4,4,4
train_114,3,3,0.7,5,5,3,3,5,5,3,3,3,3
train_115,3,3,1.0,3,3,3,3,3,3,3,3,4,3
train_004,4,4,1.0,4,4,4,4,4,4,4,4,4,4
train_016,4,1,0.2,1,1,1,1,1,1,1,1,1,1
train_022,4,5,0.0,5,2,5,5,5,5,5,5,5,5
train_028,4,4,0.9,4,3,4,4,4,4,4,4,4,4
train_031,4,4,0.9,4,4,4,4,4,4,4,4,4,3
train_043,4,4,0.9,2,4,4,4,4,4,4,4,4,4
train_046,4,2,0.1,2,2,2,2,2,2,2,2,2,2
train_048,4,4,0.9,4,4,4,4,4,4,4,4,4,4
train_050,4,3,0.0,2,3,3,3,3,3,3,3,3,3
train_071,4,3,0.3,3,3,3,3,3,3,3,4,4,4
train_072,4,4,1.0,1,4,4,4,4,4,4,5,4,4
train_090,4,4,0.6,4,3,3,4,4,4,4,3,3,4
train_105,4,4,1.0,4,4,4,4,4,4,4,4,4,4
train_116,4,4,1.0,3,3,3,3,4,4,4,3,4,4
train_002,5,4,0.2,4,3,4,3,4,4,5,3,3,3
train_005,5,5,0.5,3,3,3,5,5,5,3,5,5,3
train_008,5,4,0.1,3,4,3,3,4,4,4,4,4,4
train_012,5,5,1.0,5,5,5,5,5,5,5,5,5,5
train_014,5,5,1.0,5,5,5,5,5,5,5,5,5,5
train_018,5,5,1.0,5,5,5,4,5,5,5,5,3,5
train_021,5,5,0.8,3,3,5,3,3,5,5,5,5,5
train_024,5,5,0.9,5,5,5,5,5,5,5,5,5,5
train_025,5,5,1.0,5,5,5,5,5,5,5,5,5,5
train_030,5,5,0.7,3,3,3,3,5,5,5,5,5,5
train_084,5,5,1.0,3,3,3,5,5,5,5,5,5,5
train_100,5,5,1.0,5,5,5,5,5,5,5,5,5,3
train_120,5,5,1.0,5,5,5,5,5,5,5,5,5,5
