sample_id,label,C I 247.9 surface,C I 247.9 dip,Fe I 404.6 surface,Fe I 404.6 dip,Cr I 425.4 surface,Cr I 425.4 dip,Mn I 403.1 surface,Mn I 403.1 dip,H I 656.3 surface,H I 656.3 dip,O I 777.4 surface,O I 777.4 dip
train_022,4,1.2575079,0.6964586,1.7087388,0.3691679,2.0849617,0.46282914,1.8081294,0.60075617,2.1046937,0.7314328,1.1076217,0.48574287
train_023,3,1.3098383,0.71479654,1.7499828,0.24759212,1.7926059,0.38406298,1.7224226,0.5225464,2.328465,0.66413736,1.2300309,0.66562176
train_024,5,1.015869,0.7495004,1.072977,0.5248868,1.1914129,0.63683504,1.2978032,0.73925394,1.5587993,1.0013419,0.9884911,0.9635435
train_025,5,0.9795411,0.7393181,0.75816137,0.3292402,0.9673252,0.48397624,1.0008202,0.6581759,1.9658588,1.0999317,0.76231784,0.76231784
train_026,3,0.8862989,0.72962064,1.1927061,0.29396954,1.5144613,0.462798,1.4027462,0.5805119,1.99361,0.8728178,0.92978,0.92978
train_027,2,1.2466198,0.8108064,1.580501,0.48919588,1.7365992,0.6383688,1.5153966,0.74889386,2.0915728,0.75447726,1.1566678,0.53605515
train_028,4,1.1345191,0.6823322,1.8209763,0.23302677,2.3187513,0.40949357,2.062036,0.5407439,2.0512736,0.89248246,1.2856323,0.97516835
train_029,2,1.1121991,0.79787856,1.7947426,0.64981025,2.1747932,0.79219335,1.892864,0.9031362,2.0374358,0.7691103,1.0749964,0.6688225
train_030,5,1.0465136,0.7750742,1.509043,0.43669942,1.6616503,0.54854006,1.4792556,0.59833235,1.7051942,0.7509562,1.1842622,0.4858846
train_031,4,1.0513513,0.7468257,1.0381954,0.27986068,1.1904742,0.40476397,1.0342987,0.51542145,2.074795,0.85701317,1.4814676,0.858583
train_032,3,1.1720599,0.68758917,1.3280585,0.39224494,1.479639,0.57425964,1.5600638,0.6845059,1.5139179,0.9630591,0.94486606,0.94486606
train_033,1,0.9821401,0.7852738,1.2824367,0.47564775,1.5468588,0.6707563,1.4113151,0.7509153,2.3424797,0.81077486,1.2949423,0.9001674
train_034,2,1.1995684,0.70981437,2.0420423,0.28020325,2.648018,0.4437327,2.4823196,0.50416243,1.4012603,0.6777958,1.0344876,0.652575
train_035,2,1.0977086,0.78939325,1.285926,0.6895495,1.5427884,0.8123704,1.4480566,0.8244466,1.6095403,0.9071841,0.8889721,0.7506346
train_036,2,1.0331422,0.69443655,1.051557,0.24777164,1.3046805,0.33613068,1.2392025,0.52586627,1.5679556,1.017774,0.8236357,0.8236357
train_037,2,1.1102325,0.7523241,1.6282908,0.5978931,2.108161,0.6773755,1.857406,0.74331814,1.8242753,0.9244421,1.0319495,0.8044207
train_038,3,1.1054231,0.68526167,1.5544434,0.37360927,1.8530717,0.5216997,1.7070128,0.6345903,1.8218398,0.83238673,1.1287758,0.55337954
train_039,3,1.101396,0.7518432,1.4707427,0.43041265,1.8229988,0.5800329,1.650005,0.6529414,2.024592,0.9605035,1.2804947,1.033285
train_040,2,1.2206784,0.77468055,1.7062331,0.4958688,2.1092956,0.6657481,1.9499179,0.7741371,1.705272,0.89157975,1.0130278,0.5494725
train_041,3,1.1419976,0.6795484,1.3039851,0.27548563,1.7301257,0.42343536,1.5505733,0.6023664,1.8220916,0.966139,0.92342013,0.92342013
train_042,2,1.2316715,0.7432072,1.8141346,0.4967573,2.1576037,0.6333247,1.7748,0.7023805,2.4329636,0.9103623,1.1529372,0.9601422
train_043,4,1.0480459,0.6247919,1.5987428,0.2220216,1.911928,0.4126338,1.5877328,0.5516069,2.4385808,0.8492551,1.2912873,0.79691905
train_044,3,1.0700085,0.7090608,1.609029,0.25408038,1.8885204,0.40329263,1.7133178,0.5387299,2.2643006,0.8830703,1.04976,1.0134331
train_045,3,1.2875746,0.6363618,2.0851872,0.23674291,2.534475,0.41507572,2.1844094,0.5664327,2.0929997,0.8778518,1.2090762,1.0193604
train_046,4,1.026958,0.6986634,1.3238683,0.21686722,1.7651916,0.34546667,1.575376,0.46662396,2.1190028,0.94493866,1.1048415,1.0909669
train_047,2,1.1634406,0.7219024,1.2497101,0.31044924,1.383977,0.43044186,1.4558858,0.56881183,1.5042655,0.94086856,0.920764,0.920764
train_048,4,1.2588465,0.70124793,1.4622983,0.22913887,1.5461166,0.35388362,1.28897,0.48748916,2.151191,0.8968809,1.3942736,0.88210267
train_049,2,1.0199649,0.7149493,1.6451095,0.27713382,2.0891104,0.48601213,1.8372141,0.5868652,1.680827,0.94824225,0.9797703,0.9797703
train_050,4,1.088017,0.6569002,0.91269094,0.2470952,1.13657,0.41240048,1.061631,0.54653,1.7225299,0.88005024,0.8262012,0.8262012
train_051,3,1.130202,0.6589182,1.4501581,0.26903772,1.9384735,0.3973452,1.7741696,0.5957598,1.7945204,0.90255547,0.93446624,0.918509
train_052,3,1.0796798,0.71335614,1.4823877,0.29507256,1.6969956,0.43559498,1.4876795,0.55534905,2.2493083,0.9015255,1.3825401,1.0139762
train_053,3,1.0989987,0.68853235,1.7668369,0.30356154,2.230293,0.4169374,1.8455201,0.58320904,1.849001,0.93476266,1.00935,0.9397483
train_054,2,1.1525016,0.67863137,1.979578,0.23984057,2.3890038,0.40373677,2.089636,0.55245763,2.2268314,0.859435,1.1248273,0.9810557
train_055,3,1.1180831,0.67026764,1.6767557,0.26803237,2.1440313,0.41814083,1.9112923,0.52719903,2.2658036,0.93078643,1.3103265,1.0690564
train_056,1,1.2105365,0.7324265,1.73992,0.22666705,1.9302849,0.31842113,1.6759022,0.4973646,2.2633326,0.93129313,1.2692353,1.0623972
train_057,1,1.1362116,0.69009143,1.5245322,0.26068842,1.9443659,0.44271517,1.7512699,0.56807256,1.7526107,0.97972566,0.9542866,0.9276577
train_058,1,1.0286093,0.7523117,1.3043517,0.32595244,1.6289351,0.5029201,1.5681913,0.5817763,1.815637,0.8829124,1.017766,1.017766
train_059,2,1.1179082,0.69416046,1.5355531,0.44635236,1.6803178,0.5916099,1.496808,0.67999905,1.7391496,0.9091173,1.014524,0.6179641
train_060,3,1.1490029,0.7330994,1.4110965,0.39899683,1.8088409,0.5749744,1.6580597,0.6548857,1.7823035,0.90880173,0.9877934,0.95602286
train_061,2,1.134081,0.6457557,1.4695643,0.315105,1.7356281,0.4851533,1.6390787,0.6276187,1.6932391,0.676731,0.89691395,0.60714114
train_062,3,1.3540586,0.7305189,1.9489198,0.30881363,2.0071735,0.44946423,1.7116754,0.59887815,2.4925652,0.71728426,1.2802184,0.74429196
train_063,2,1.0810697,0.7959986,1.2805437,0.6725432,1.4878334,0.784931,1.3046762,0.8810966,2.156852,0.8726296,1.1329283,0.89312637
train_064,2,1.1420128,0.7387014,1.2782341,0.2850188,1.5122893,0.47299743,1.5136719,0.58905876,1.5930674,0.8475015,0.94170016,0.71147406
train_065,3,1.1655478,0.702743,1.6387588,0.25917366,2.2069619,0.37788513,1.9578788,0.5743208,1.908762,0.83719563,1.0196499,0.8550717
train_066,2,1.2320629,0.6581977,1.9143941,0.21900146,2.7169685,0.3877123,2.3577962,0.4853055,1.8017159,0.91247433,1.0244317,0.89159834
train_067,3,1.1516596,0.7232924,1.1853771,0.29306734,1.2933495,0.42422935,1.1501559,0.57606655,2.7446592,0.8821178,1.0809095,1.0774987
train_068,3,1.1948103,0.67935586,1.6357282,0.23168784,2.236933,0.37080428,1.9708785,0.5277465,1.6495454,0.8999302,0.9211341,0.9211341
train_069,2,1.0998285,0.74670196,1.0231351,0.40184376,1.2012545,0.53013104,1.3340169,0.64296186,1.6217998,1.0774877,0.9110144,0.9110144
train_070,2,1.092622,0.72659403,1.6624482,0.2780902,2.2081492,0.40205753,1.9406546,0.58414733,1.7119391,0.9648549,0.97728616,0.97728616
train_071,4,1.1353548,0.7570922,1.4740285,0.38041702,1.8641086,0.5111203,1.7055748,0.5976614,2.0044653,0.9941219,1.1874559,0.9928583
train_072,4,1.1774124,0.7209354,1.4984055,0.4446181,1.6374109,0.6301221,1.347003,0.7525805,2.101628,0.9083154,1.3602291,0.94293565
train_073,2,1.1999952,0.68995136,1.324272,0.3135395,1.474695,0.41958216,1.3294761,0.5651669,2.1317534,0.8768587,1.2581441,0.8198965
train_074,3,1.0637854,0.72576606,1.2778368,0.31989336,1.5554686,0.48747256,1.4676014,0.6332927,1.559435,1.0472306,0.80976,0.80976
train_075,2,1.0463203,0.69178706,1.0628538,0.44050792,1.2812241,0.6661833,1.2688117,0.7837315,1.4502918,1.0529007,0.86344695,0.86344695
train_076,2,1.2726828,0.8142017,1.8073144,0.5304978,2.1962903,0.68890285,1.8650827,0.78834003,1.6495166,0.9416519,0.8728466,0.76602614
train_077,3,1.2347246,0.6112018,2.0562735,0.24354304,2.7518854,0.41702667,2.4275763,0.54031986,1.6929666,0.9464756,0.9998415,0.9998415
train_078,3,1.0645919,0.7652126,1.5828272,0.6668646,1.9255797,0.784584,1.7575189,0.8179617,1.2505528,0.8056732,0.89574045,0.88514626
train_079,2,1.2192324,0.80472916,1.457865,0.47980738,1.7562261,0.62148464,1.5727172,0.7033019,2.0630887,0.8797461,1.2404817,0.8572096
train_080,1,1.020747,0.79003036,1.5246849,0.5273633,2.0541213,0.64008594,1.7759126,0.73887324,1.8839035,1.0091344,1.1112288,0.86882573
train_081,3,1.33224,0.7148704,2.0936913,0.30401123,2.5061288,0.47403812,1.9603132,0.64729005,2.0043833,0.9763976,1.1018529,1.0287718
train_082,3,1.1677928,0.7905122,1.5802634,0.51825905,1.8745008,0.66836035,1.7671437,0.7680942,1.6139554,0.92167276,0.89871943,0.6662076
train_083,1,1.182446,0.814504,1.7002838,0.63820606,1.832372,0.78290886,1.8103815,0.8353595,1.849083,1.0473793,0.88408333,0.88408333
train_084,5,1.1862657,0.6727252,1.7578727,0.27592528,1.9119991,0.44781667,1.8134658,0.62101746,1.5209583,0.77786756,1.1326483,0.88470334
train_085,3,1.211576,0.6789949,2.4095228,0.31840032,3.1098175,0.5039672,2.6812649,0.6342866,1.7763985,0.9841775,1.0373008,1.0187596
train_086,2,1.0578189,0.79538757,1.3898065,0.54054374,1.8293314,0.68903744,1.5889078,0.83056116,1.8103004,1.1878603,0.93897843,0.7450975
train_087,3,1.0559622,0.6832039,1.5131017,0.30874318,1.7149403,0.47928977,1.4408169,0.5795914,2.4941425,0.90868455,1.5032225,0.9173981
train_088,2,1.1218517,0.7166196,1.8437221,0.4816919,2.5242658,0.65963143,2.1074274,0.6895862,1.9942307,0.7490265,1.2261465,0.64224553
train_089,2,1.1993603,0.79277456,1.3958486,0.5129274,1.450654,0.7077054,1.5429658,0.7990368,1.4384445,0.8951411,0.9113279,0.9113279
train_090,4,1.1813828,0.80239856,2.1448362,0.54055405,2.6314566,0.65519583,2.0649881,0.74849427,2.2474475,0.91633147,1.3530755,0.6449797
train_091,2,1.4630097,0.7438111,1.8065515,0.3054536,1.9942776,0.43766508,1.57685,0.60817707,2.5665314,0.7690685,1.2204348,0.88627654
train_092,2,1.1334074,0.66579896,1.8350122,0.26623952,2.2837665,0.45088762,2.151321,0.5623388,1.6612906,0.9028833,1.0128027,0.98482496
train_093,3,1.2566216,0.7519898,1.5818048,0.42488784,1.836127,0.6150829,1.7567863,0.6778264,1.5120285,0.76181436,0.98503494,0.83186847
train_094,3,1.2142158,0.7888519,1.5478958,0.5203423,1.9798262,0.65882254,1.7202649,0.76064646,1.6648862,0.9309745,0.8874536,0.8874536
train_095,3,0.98901504,0.63464916,1.5033056,0.2170327,2.0330646,0.3804638,1.8341895,0.494212,1.7399383,0.7291792,1.0113854,0.6155182
train_096,2,1.1163594,0.69255215,1.583993,0.28151068,2.0406992,0.4488793,1.9330105,0.5714608,1.6489296,0.9282115,0.8997695,0.8997695
train_097,3,1.1673733,0.7920647,1.7875373,0.5473878,2.0632453,0.6987404,1.76521,0.8262848,2.4455774,0.8884333,1.0368512,0.86462766
train_098,1,1.0266126,0.7512024,1.7470995,0.36863673,2.214956,0.51564896,1.9383962,0.64691275,2.123866,0.9030356,1.3370128,1.006561
train_099,3,1.0722957,0.7118132,1.2949226,0.23873845,1.6837971,0.42300949,1.5206658,0.5693478,2.0821083,0.78016466,1.0101839,0.69534236
train_100,5,1.0519623,0.7653977,1.8214043,0.4710006,2.216845,0.6163466,2.0436287,0.74920243,1.8113292,0.81717813,1.0690066,0.85831493
train_101,2,1.1002531,0.6974043,1.3832166,0.32134092,1.8563118,0.46721596,1.7111171,0.62007743,1.8196036,0.9608538,1.0951208,1.0398196
train_102,2,1.3441815,0.68933034,1.7834501,0.22194973,1.8603097,0.3238066,1.617084,0.5009085,2.3105788,0.83416384,1.2671793,0.8581792
train_103,3,0.9840602,0.68352515,1.3144333,0.33042234,1.7002547,0.48909557,1.5564648,0.610871,1.9682033,0.84413075,1.0408477,0.82407445
train_104,1,1.2249746,0.6427415,2.0427032,0.25044551,2.7437377,0.41661927,2.4115546,0.5528495,1.8504527,0.9426065,1.1078457,1.0257622
train_105,4,1.3175454,0.7336891,2.1681488,0.37426955,2.363676,0.55043435,1.9564404,0.6641692,2.2384732,0.7257766,1.1869959,0.7343388
train_106,1,1.20545,0.74956024,1.836109,0.514962,2.42517,0.67054015,1.9089373,0.7517393,2.2341278,0.95346814,1.4732426,0.9926382
train_107,3,1.3043123,0.7373463,2.0286887,0.30956957,2.6498237,0.4672362,2.2589626,0.627392,1.7543433,0.98347837,0.9961213,0.9961213
train_108,1,1.2711372,0.7272335,1.212949,0.23325722,1.210974,0.37493926,1.1076765,0.4794094,2.2199676,0.83426607,1.2191287,0.85105383
train_109,3,1.1710087,0.6353741,1.3358408,0.31702352,1.613404,0.46576226,1.5217592,0.5619443,1.5732307,0.95971155,0.8665612,0.8665612
train_110,1,1.1082731,0.7545031,1.4179145,0.6141997,1.7301407,0.74971724,1.5973963,0.82871747,1.7392244,1.0697634,0.88733405,0.7270486
train_111,3,1.3275492,0.6942429,1.6571363,0.30051723,1.9060435,0.44179988,1.5815833,0.5932913,2.3730588,0.9769101,1.3023678,1.0454444
train_112,1,1.1418039,0.7243043,1.3435832,0.48055837,1.7160503,0.6739522,1.7332166,0.7704831,1.6136861,0.84561604,1.0071185,0.7416742
train_113,3,1.1917582,0.7337341,1.4351828,0.3803402,1.6259689,0.5535279,1.6283306,0.66337496,1.8800935,0.9321428,1.1312809,0.8140404
train_114,3,1.0594175,0.67915165,1.5512061,0.22778948,1.7737644,0.39398792,1.5583283,0.5217822,2.6247892,0.8779675,1.556196,0.8832464
train_115,3,1.122786,0.7044729,1.6269886,0.26412776,2.2640107,0.4572525,2.045155,0.54359925,1.7251996,0.9479812,1.0312496,0.9065233
train_116,4,1.1807197,0.7015775,1.5631447,0.24129331,1.8932279,0.40525255,1.7943181,0.5316692,2.189818,0.87719464,1.3416553,1.0474381
train_117,1,1.2126731,0.83510774,1.5649604,0.728965,1.9904051,0.88527596,1.8364084,0.89104897,1.6420282,1.0298249,0.9282948,0.81038374
train_118,2,1.0273029,0.68144745,1.5543538,0.2423229,2.0447106,0.43168238,1.7757946,0.53645253,1.8794266,0.7124413,1.0722679,0.7023351
train_119,2,1.2262167,0.6365672,1.5711807,0.24700846,1.50862,0.3797981,1.3448554,0.52937824,2.2430708,0.71226084,1.2866082,0.71825534
train_120,5,0.9973305,0.7127838,1.0038451,0.25989872,1.2478187,0.47427762,1.3148165,0.60385305,1.6515939,0.9730024,0.896156,0.896156
